cert,bank,year,values,tied_to_the_filing,photographs,megabytes,pdf
3510,Bank of America NA,2016,174,152,260,2.6,TIE-OUT-3510-Bank-of-America-NA-2016.pdf
3510,Bank of America NA,2017,348,316,536,5.1,TIE-OUT-3510-Bank-of-America-NA-2017.pdf
3510,Bank of America NA,2018,348,316,533,5.1,TIE-OUT-3510-Bank-of-America-NA-2018.pdf
3510,Bank of America NA,2019,348,316,532,5.1,TIE-OUT-3510-Bank-of-America-NA-2019.pdf
3510,Bank of America NA,2020,348,306,504,5.1,TIE-OUT-3510-Bank-of-America-NA-2020.pdf
3510,Bank of America NA,2021,348,316,532,5.2,TIE-OUT-3510-Bank-of-America-NA-2021.pdf
3510,Bank of America NA,2022,348,316,532,5.2,TIE-OUT-3510-Bank-of-America-NA-2022.pdf
3510,Bank of America NA,2023,348,316,532,5.2,TIE-OUT-3510-Bank-of-America-NA-2023.pdf
3510,Bank of America NA,2024,348,316,533,5.2,TIE-OUT-3510-Bank-of-America-NA-2024.pdf
3510,Bank of America NA,2025,348,316,536,5.2,TIE-OUT-3510-Bank-of-America-NA-2025.pdf
3510,Bank of America NA,2026,174,158,268,2.7,TIE-OUT-3510-Bank-of-America-NA-2026.pdf
639,Bank of New York Mellon,2016,174,152,260,2.2,TIE-OUT-639-Bank-of-New-York-Mellon-2016.pdf
639,Bank of New York Mellon,2017,348,316,536,4.3,TIE-OUT-639-Bank-of-New-York-Mellon-2017.pdf
639,Bank of New York Mellon,2018,348,316,533,4.3,TIE-OUT-639-Bank-of-New-York-Mellon-2018.pdf
639,Bank of New York Mellon,2019,348,316,532,4.4,TIE-OUT-639-Bank-of-New-York-Mellon-2019.pdf
639,Bank of New York Mellon,2020,348,316,532,4.4,TIE-OUT-639-Bank-of-New-York-Mellon-2020.pdf
639,Bank of New York Mellon,2021,348,316,532,4.4,TIE-OUT-639-Bank-of-New-York-Mellon-2021.pdf
639,Bank of New York Mellon,2022,348,316,532,4.4,TIE-OUT-639-Bank-of-New-York-Mellon-2022.pdf
639,Bank of New York Mellon,2023,348,316,532,4.4,TIE-OUT-639-Bank-of-New-York-Mellon-2023.pdf
639,Bank of New York Mellon,2024,348,316,533,4.5,TIE-OUT-639-Bank-of-New-York-Mellon-2024.pdf
639,Bank of New York Mellon,2025,348,316,536,4.5,TIE-OUT-639-Bank-of-New-York-Mellon-2025.pdf
639,Bank of New York Mellon,2026,174,158,268,2.4,TIE-OUT-639-Bank-of-New-York-Mellon-2026.pdf
4297,Capital One NA,2016,174,152,260,2.5,TIE-OUT-4297-Capital-One-NA-2016.pdf
4297,Capital One NA,2017,348,316,536,5.0,TIE-OUT-4297-Capital-One-NA-2017.pdf
4297,Capital One NA,2018,348,316,533,5.0,TIE-OUT-4297-Capital-One-NA-2018.pdf
4297,Capital One NA,2019,348,316,532,5.0,TIE-OUT-4297-Capital-One-NA-2019.pdf
4297,Capital One NA,2020,348,316,532,5.1,TIE-OUT-4297-Capital-One-NA-2020.pdf
4297,Capital One NA,2021,348,316,532,5.1,TIE-OUT-4297-Capital-One-NA-2021.pdf
4297,Capital One NA,2022,348,306,504,4.9,TIE-OUT-4297-Capital-One-NA-2022.pdf
4297,Capital One NA,2023,348,316,532,5.1,TIE-OUT-4297-Capital-One-NA-2023.pdf
4297,Capital One NA,2024,348,316,533,5.1,TIE-OUT-4297-Capital-One-NA-2024.pdf
