cert,bank,report_date,field,value,units,call_report_schedule,cited_line,verified,verified_meaning,usable_for_trend,note,filing_last_updated,days_after_quarter_end,filing_url
628,JPMorgan Chase Bank NA,2026-06-30,ASSET,4091315000.0,thousands of dollars,RC 12,RCFD2170,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,DEP,2820284000.0,thousands of dollars,RC 13.a (+13.b 031),RCON2200+RCFN2200,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNLSGR,1561577000.0,thousands of dollars,RC 4.a+4.b,RCFD5369+RCFDB528,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNLSNET,1535635000.0,thousands of dollars,RC 4.a+4.b-4.c,RCFD5369+RCFDB528-RCFD3123,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,BRO,54909000.0,thousands of dollars,RC-E Mem 1.b,RCON2365,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,EQ,341580000.0,thousands of dollars,RC 27.a,RCFD3210,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NCLNLS,12169000.0,thousands of dollars,RC-N 9 cols B+C,RCFD1407+RCFD1403,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNATRES,25942000.0,thousands of dollars,RC 4.c,RCFD3123,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3LNLS,7157000.0,thousands of dollars,RC-N 9 col A,RCFD1406,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNRECONS,18789000.0,thousands of dollars,RC-C Pt I 1.a.(1)+(2),RCONF158+RCONF159,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNRENRES,53741000.0,thousands of dollars,RC-C Pt I 1.e.(1)+(2),RCONF160+RCONF161,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNREMULT,107317000.0,thousands of dollars,RC-C Pt I 1.d,RCON1460,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NCLNLSR,0.7792763341160891,percent,FDIC-computed ratio,"1407,1403 / 2122",no,not a filed line -- the FDIC calculates this from filed lines that are verified here,yes,a ratio the FDIC computes from filed lines; not itself a line on the form,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NTLNLSQR,0.61,percent,FDIC-computed ratio,"4635,4605 / 3360",no,not a filed line -- the FDIC calculates this from filed lines that are verified here,yes,a ratio the FDIC computes from filed lines; not itself a line on the form,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNATRESR,1.6612693450274947,percent,FDIC-computed ratio,3123 / 2122,no,not a filed line -- the FDIC calculates this from filed lines that are verified here,yes,a ratio the FDIC computes from filed lines; not itself a line on the form,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNRESNCR,213.18103377434463,percent,FDIC-computed ratio,"3123 / 1407,1403",no,not a filed line -- the FDIC calculates this from filed lines that are verified here,yes,a ratio the FDIC computes from filed lines; not itself a line on the form,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,RBC1AAJ,7.494687148596367,percent,"RC-R Part I line 31, Tier 1 leverage ratio",RCOA7204 (031: RCFA7204),yes,verified against the bank's own filed Call Report,yes,filed as a fraction; x100 to the published percent,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,RBCRWAJ,16.211188932535546,percent,"RC-R Part I line 51, total capital ratio",RCOA7205 (031: RCFA7205),yes,verified against the bank's own filed Call Report,yes,filed as a fraction; x100 to the published percent,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,EQV,8.348904936432417,percent,FDIC-computed ratio,3210 / 2170,no,not a filed line -- the FDIC calculates this from filed lines that are verified here,yes,a ratio the FDIC computes from filed lines; not itself a line on the form,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,ROAQ,1.71,percent,FDIC-computed ratio,4340 / 3368,no,not a filed line -- the FDIC calculates this from filed lines that are verified here,yes,a ratio the FDIC computes from filed lines; not itself a line on the form,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NIMY,2.881812914887761,percent,FDIC-computed ratio,4074 / (RC-K),no,not a filed line -- the FDIC calculates this from filed lines that are verified here,yes,a ratio the FDIC computes from filed lines; not itself a line on the form,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,EEFFR,54.37789561819704,percent,FDIC-computed ratio,"4093,C232 / 4074,4079",no,not a filed line -- the FDIC calculates this from filed lines that are verified here,yes,a ratio the FDIC computes from filed lines; not itself a line on the form,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3CRCD,1920000.0,thousands of dollars,RC-N 5.a col A,RCFDB575,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9CRCD,2083000.0,thousands of dollars,RC-N 5.a col B,RCFDB576,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NACRCD,0.0,thousands of dollars,RC-N 5.a col C,RCFDB577,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3AUTO,593000.0,thousands of dollars,RC-N 5.b col A,RCFDK213,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9AUTO,0.0,thousands of dollars,RC-N 5.b col B,RCFDK214,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NAAUTO,138000.0,thousands of dollars,RC-N 5.b col C,RCFDK215,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3RERES,1079000.0,thousands of dollars,RC-N 1.c (3 rows) col A,RCON5398+RCONC236+RCONC238,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9RERES,57000.0,thousands of dollars,RC-N 1.c (3 rows) col B,RCON5399+RCONC237+RCONC239,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NARERES,4385000.0,thousands of dollars,RC-N 1.c (3 rows) col C,RCON5400+RCONC229+RCONC230,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3RELOC,126000.0,thousands of dollars,RC-N 1.c.(1) col A,RCON5398,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9RELOC,0.0,thousands of dollars,RC-N 1.c.(1) col B,RCON5399,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NARELOC,758000.0,thousands of dollars,RC-N 1.c.(1) col C,RCON5400,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3CONOTH,285000.0,thousands of dollars,RC-N 5.c col A,RCFDK216,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9CONOTH,10000.0,thousands of dollars,RC-N 5.c col B,RCFDK217,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NACONOTH,39000.0,thousands of dollars,RC-N 5.c col C,RCFDK218,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNCRCD,216172000.0,thousands of dollars,RC-C Pt I 6.a,RCFDB538,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNAUTO,57822000.0,thousands of dollars,RC-C Pt I 6.c,RCFDK137,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNCONOTH,3415000.0,thousands of dollars,RC-C Pt I 6.d,RCFDK207,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNRERES,322339000.0,thousands of dollars,RC-C Pt I 1.c.(1)+(2)(a)+(2)(b),RCON1797+RCON5367+RCON5368,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,LNRELOC,13787000.0,thousands of dollars,RC-C Pt I 1.c.(1),RCON1797,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NTCRCDQ,1664000.0,thousands of dollars,RI-B Pt I 5.a cols A-B,RIADB514-RIADB515,yes,verified against the bank's own filed Call Report,yes,this filing's year-to-date less the previous quarter's,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NTAUTOQ,58000.0,thousands of dollars,RI-B Pt I 5.b cols A-B,RIADK129-RIADK133,yes,verified against the bank's own filed Call Report,yes,this filing's year-to-date less the previous quarter's,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NTCONOTQ,3000.0,thousands of dollars,RI-B Pt I 5.c cols A-B,RIADK205-RIADK206,yes,verified against the bank's own filed Call Report,yes,this filing's year-to-date less the previous quarter's,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NTRERESQ,-16000.0,thousands of dollars,RI-B Pt I 1.c.(1)+1.c.(2) cols A-B,RIAD5411+RIADC234+RIADC235-RIAD5412-RIADC217-RIADC218,yes,verified against the bank's own filed Call Report,yes,this filing's year-to-date less the previous quarter's,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3CI,1163000.0,thousands of dollars,RC-N 4 col A,RCFD1251+RCFD1254,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9CI,439000.0,thousands of dollars,RC-N 4 col B,RCFD1252+RCFD1255,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NACI,2274000.0,thousands of dollars,RC-N 4 col C,RCFD1253+RCFD1256,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3RECONS,117000.0,thousands of dollars,RC-N 1.a.(1)+(2) col A,RCONF172+RCONF173,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9RECONS,6000.0,thousands of dollars,RC-N 1.a.(1)+(2) col B,RCONF174+RCONF175,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NARECONS,477000.0,thousands of dollars,RC-N 1.a.(1)+(2) col C,RCONF176+RCONF177,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3RENRES,98000.0,thousands of dollars,RC-N 1.e.(1)+(2) col A,RCONF178+RCONF179,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9RENRES,40000.0,thousands of dollars,RC-N 1.e.(1)+(2) col B,RCONF180+RCONF181,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NARENRES,993000.0,thousands of dollars,RC-N 1.e.(1)+(2) col C,RCONF182+RCONF183,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P3REMULT,262000.0,thousands of dollars,RC-N 1.d col A,RCON3499,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,P9REMULT,4000.0,thousands of dollars,RC-N 1.d col B,RCON3500,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
628,JPMorgan Chase Bank NA,2026-06-30,NAREMULT,486000.0,thousands of dollars,RC-N 1.d col C,RCON3501,yes,verified against the bank's own filed Call Report,yes,read straight off the filing,8/4/2026,35,https://cdr.ffiec.gov/Public/ViewFacsimileDirect.aspx?ds=call&idType=fdiccert&id=628&date=06302026
