cert,bank,report_date,acquired_cert,effective,fdic_change_code,total_assets_quarter_before,total_assets_this_quarter,change_in_total_assets_pct,what_this_means
11063,First-Citizens Bank & Trust,2016-09-30,57627,2016-09-01,221 -- Absorbtion - Without Assistance,,,,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. The size of the step could not be computed here because total assets are not present for both quarters."
6560,Huntington National Bank,2016-09-30,13675,2016-08-16,223 -- Merger -Without Assistance,,,,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. The size of the step could not be computed here because total assets are not present for both quarters."
17534,KeyBank NA,2016-12-31,16004,2016-10-08,223 -- Merger -Without Assistance,101264880,134362217,32.7,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 101,264,880 to 134,362,217, a change of +32.7%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2017-03-31,34951,2017-01-13,211 -- Failure - Whole Institution,32814750,33842683,3.1,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 32,814,750 to 33,842,683, a change of +3.1%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2017-06-30,30003,2017-05-05,211 -- Failure - Whole Institution,33842683,34599352,2.2,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 33,842,683 to 34,599,352, a change of +2.2%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2018-06-30,58194,2018-04-30,221 -- Absorbtion - Without Assistance,34262885,34911613,1.9,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 34,262,885 to 34,911,613, a change of +1.9%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2018-12-31,12515,2018-10-02,221 -- Absorbtion - Without Assistance,34837981,35267496,1.2,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 34,837,981 to 35,267,496, a change of +1.2%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2018-12-31,57880,2018-11-01,221 -- Absorbtion - Without Assistance,34837981,35267496,1.2,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 34,837,981 to 35,267,496, a change of +1.2%. That is not growth; it is a different institution."
57957,Citizens Bank NA,2019-03-31,57282,2019-01-02,223 -- Merger -Without Assistance,129426633,161403353,24.7,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 129,426,633 to 161,403,353, a change of +24.7%. That is not growth; it is a different institution."
6672,Fifth Third Bank NA,2019-06-30,3628,2019-05-04,223 -- Merger -Without Assistance,147397723,167178960,13.4,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 147,397,723 to 167,178,960, a change of +13.4%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2019-06-30,57973,2019-04-01,221 -- Absorbtion - Without Assistance,35828763,37566116,4.8,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 35,828,763 to 37,566,116, a change of +4.8%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2019-06-30,34222,2019-05-01,223 -- Merger -Without Assistance,35828763,37566116,4.8,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 35,828,763 to 37,566,116, a change of +4.8%. That is not growth; it is a different institution."
628,JPMorgan Chase Bank NA,2019-06-30,23702,2019-05-18,223 -- Merger -Without Assistance,2292334000,2354812000,2.7,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 2,292,334,000 to 2,354,812,000, a change of +2.7%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2019-12-31,31445,2019-12-31,223 -- Merger -Without Assistance,37665333,39787666,5.6,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 37,665,333 to 39,787,666, a change of +5.6%. That is not growth; it is a different institution."
9846,Truist Bank,2019-12-31,867,2019-12-07,223 -- Merger -Without Assistance,229886000,461256000,100.6,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 229,886,000 to 461,256,000, a change of +100.6%. That is not growth; it is a different institution."
3510,Bank of America NA,2020-03-31,58026,2020-03-31,224 -- Affiliated Institution Merger (Pooling) (i.e. Corporate Reorganization,1852983000,2031940000,9.7,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 1,852,983,000 to 2,031,940,000, a change of +9.7%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2020-03-31,35249,2020-02-01,223 -- Merger -Without Assistance,39787666,41376966,4.0,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 39,787,666 to 41,376,966, a change of +4.0%. That is not growth; it is a different institution."
6560,Huntington National Bank,2021-06-30,28330,2021-06-09,223 -- Merger -Without Assistance,125419222,174866037,39.4,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 125,419,222 to 174,866,037, a change of +39.4%. That is not growth; it is a different institution."
6384,PNC Bank NA,2021-12-31,19048,2021-10-08,223 -- Merger -Without Assistance,462385600,551902526,19.4,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 462,385,600 to 551,902,526, a change of +19.4%. That is not growth; it is a different institution."
12368,Regions Bank,2021-12-31,57293,2021-10-01,223 -- Merger -Without Assistance,155343000,162193000,4.4,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 155,343,000 to 162,193,000, a change of +4.4%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2022-03-31,58978,2022-01-04,223 -- Merger -Without Assistance,58215736,108471178,86.3,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 58,215,736 to 108,471,178, a change of +86.3%. That is not growth; it is a different institution."
57957,Citizens Bank NA,2022-06-30,28892,2022-04-07,223 -- Merger -Without Assistance,191869069,226531535,18.1,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 191,869,069 to 226,531,535, a change of +18.1%. That is not growth; it is a different institution."
588,Manufacturers and Traders Trust,2022-06-30,27334,2022-04-02,223 -- Merger -Without Assistance,149417607,203656265,36.3,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 149,417,607 to 203,656,265, a change of +36.3%. That is not growth; it is a different institution."
7213,Citibank NA,2022-09-30,58180,2022-07-01,224 -- Affiliated Institution Merger (Pooling) (i.e. Corporate Reorganization,1720308000,1711263000,-0.5,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 1,720,308,000 to 1,711,263,000, a change of -0.5%. That is not growth; it is a different institution."
4297,Capital One NA,2022-12-31,33954,2022-10-03,223 -- Merger -Without Assistance,391805186,453313240,15.7,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 391,805,186 to 453,313,240, a change of +15.7%. That is not growth; it is a different institution."
11063,First-Citizens Bank & Trust,2023-03-31,59334,2023-03-26,216 -- Bridge Bank Resolution,109180139,214598538,96.6,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 109,180,139 to 214,598,538, a change of +96.6%. That is not growth; it is a different institution."
628,JPMorgan Chase Bank NA,2023-06-30,59017,2023-05-01,211 -- Failure - Whole Institution,3267963000,3382195000,3.5,"Quarterly charge-off flows for this bank in this quarter mix two banks and are not a quarter of anything. THE BALANCES EITHER SIDE OF THIS QUARTER ARE NOT THE SAME INSTITUTION EITHER: each figure is correct for the bank as it stood that day, but a balance charted across this line compares a bank with a bigger bank under one name. Total assets go from 3,267,963,000 to 3,382,195,000, a change of +3.5%. That is not growth; it is a different institution."
